iau_abbreviation,resource_filename,source_url,local_path,byte_size,sha256,acquired_at_utc
PAV,pav.txt,https://iauarchive.eso.org/static/public/constellations/txt/pav.txt,raw/pav.txt,279,99d654fec75432ce39373b0d2ec74d8be304be0f243e84c46abfc26db8150e84,2026-09-15T23:38:17+00:00
PEG,peg.txt,https://iauarchive.eso.org/static/public/constellations/txt/peg.txt,raw/peg.txt,1272,a61d4da69edeb8c29ffd33f534732a4423c166a8f8b4c2e1ec9f8555b0f217ee,2026-09-15T23:38:17+00:00
PER,per.txt,https://iauarchive.eso.org/static/public/constellations/txt/per.txt,raw/per.txt,868,6cb6e1fe4b92f089a4e0cbbe28679bd736599031ed6fb369591a3694af507530,2026-09-15T23:38:17+00:00
PHE,phe.txt,https://iauarchive.eso.org/static/public/constellations/txt/phe.txt,raw/phe.txt,372,c63ab092dda4ee385c856959f8b2bc8cf2686fae3406888b8902fc4f629e5760,2026-09-15T23:38:17+00:00
PIC,pic.txt,https://iauarchive.eso.org/static/public/constellations/txt/pic.txt,raw/pic.txt,682,0f6bdb26bc9aad00771fae298692c1171e3d789cc47b98b53276e5d27c9c78fe,2026-09-15T23:38:17+00:00
PSA,psa.txt,https://iauarchive.eso.org/static/public/constellations/txt/psa.txt,raw/psa.txt,186,da7b4c4a7bf8780f2f316e84a9a562b0fccd129d16630921607d2377a503c797,2026-09-15T23:38:17+00:00
PSC,psc.txt,https://iauarchive.eso.org/static/public/constellations/txt/psc.txt,raw/psc.txt,806,60a270eb42cb753f35d3659fa44f9562246be7af0376ceb7a758a7c8b458d85a,2026-09-15T23:38:17+00:00
PUP,pup.txt,https://iauarchive.eso.org/static/public/constellations/txt/pup.txt,raw/pup.txt,403,447c04b89e5a7a52c962823bd055a90aa5ceefa63971aea3a52196e3bc6c117e,2026-09-15T23:38:17+00:00
PYX,pyx.txt,https://iauarchive.eso.org/static/public/constellations/txt/pyx.txt,raw/pyx.txt,248,ae82bee91e380da6aea3451250a453259779017bafd42040fad722b0972e0371,2026-09-15T23:38:17+00:00
RET,ret.txt,https://iauarchive.eso.org/static/public/constellations/txt/ret.txt,raw/ret.txt,341,fc385362a58982ae75381503d13ec96210841efdbb6770084fc9e6fc1b3d8afa,2026-09-15T23:38:17+00:00
SCL,scl.txt,https://iauarchive.eso.org/static/public/constellations/txt/scl.txt,raw/scl.txt,217,297c3b4462e0315d9177e4805248b6b263766ac3c904195dceb9ab4e46eda45a,2026-09-15T23:38:17+00:00
SCO,sco.txt,https://iauarchive.eso.org/static/public/constellations/txt/sco.txt,raw/sco.txt,620,3824170d01600ee9ea258dba05d45c0bcee04fe066a42b54b97f9ad57dcdaf3b,2026-09-15T23:38:17+00:00
SCT,sct.txt,https://iauarchive.eso.org/static/public/constellations/txt/sct.txt,raw/sct.txt,186,25645746a8184ec075fdb07332b249f96a24a9c0a34bdf7074fadd10b818a64c,2026-09-15T23:38:17+00:00
SER,ser1.txt,https://iauarchive.eso.org/static/public/constellations/txt/ser1.txt,raw/ser1.txt,465,defdef4839497fac79d3b593e2e416d9d48ff13df0966568caff3965bdcd0db2,2026-09-15T23:38:17+00:00
SER,ser2.txt,https://iauarchive.eso.org/static/public/constellations/txt/ser2.txt,raw/ser2.txt,775,4c53ef186ca1d39bc19c85bc8bbfb2fdcc49e133c956906bfb09c5384691a232,2026-09-15T23:38:17+00:00
SEX,sex.txt,https://iauarchive.eso.org/static/public/constellations/txt/sex.txt,raw/sex.txt,217,352761204192f83660cba9cc80c175eff4a703fa8010b3e62d1c4079b7e73cb8,2026-09-15T23:38:17+00:00
SGE,sge.txt,https://iauarchive.eso.org/static/public/constellations/txt/sge.txt,raw/sge.txt,434,6e5a05e88f38ca6b101ee206a8820bb1eccfdaf57bf2480d305c1e5754751b22,2026-09-15T23:38:17+00:00
SGR,sgr.txt,https://iauarchive.eso.org/static/public/constellations/txt/sgr.txt,raw/sgr.txt,403,965e29fa421db63cc78be2c307ad3eec6a771fd7de98485153f95a43c3e979de,2026-09-15T23:38:17+00:00
TAU,tau.txt,https://iauarchive.eso.org/static/public/constellations/txt/tau.txt,raw/tau.txt,837,7ca7a13c5c1b52f4e91714cd28a43180ef0bf6252c3791e3fcba6366b21605f0,2026-09-15T23:38:17+00:00
TEL,tel.txt,https://iauarchive.eso.org/static/public/constellations/txt/tel.txt,raw/tel.txt,155,23a7aa07093c194984d8dcbbed23baeccf49bdd0313c230ed36d49e408d61e9a,2026-09-15T23:38:17+00:00
TRA,tra.txt,https://iauarchive.eso.org/static/public/constellations/txt/tra.txt,raw/tra.txt,558,24bf7c38217b7e9de62e7f70b9affea0a24a04155c47ec4ad46653c56d758a4c,2026-09-15T23:38:17+00:00
TRI,tri.txt,https://iauarchive.eso.org/static/public/constellations/txt/tri.txt,raw/tri.txt,496,97e93b51a3174b183099a6f59cc71c515eaa0b3297f18fe32dd261cf53341b13,2026-09-15T23:38:17+00:00
TUC,tuc.txt,https://iauarchive.eso.org/static/public/constellations/txt/tuc.txt,raw/tuc.txt,341,166ec053ca5d4e349615b25fd2173c5e4ffc37e6fd4832d7724dd421c7967f22,2026-09-15T23:38:17+00:00
UMA,uma.txt,https://iauarchive.eso.org/static/public/constellations/txt/uma.txt,raw/uma.txt,992,681a1db59fa563a15de88269bb000d6732b959652138b043128385a0d555aa10,2026-09-15T23:38:17+00:00
UMI,umi.txt,https://iauarchive.eso.org/static/public/constellations/txt/umi.txt,raw/umi.txt,682,c644dc8bede98a0499343cab7a00251f2091ab38e1334f36e6264f4e55a76404,2026-09-15T23:38:17+00:00
VEL,vel.txt,https://iauarchive.eso.org/static/public/constellations/txt/vel.txt,raw/vel.txt,434,fd8a427cca0270e454341e6a582616ca88d493b60a8e0d360b74ea21c5f7b04d,2026-09-15T23:38:17+00:00
VIR,vir.txt,https://iauarchive.eso.org/static/public/constellations/txt/vir.txt,raw/vir.txt,589,057e4129798f8850eba9216be7d120d0b21e541f12a528676bdee747b1c6de5f,2026-09-15T23:38:17+00:00
VOL,vol.txt,https://iauarchive.eso.org/static/public/constellations/txt/vol.txt,raw/vol.txt,217,9d0cc26a56431c495bdff5c0abd5b45ca521df13cd86fa4d61dd1e06a7afb4ec,2026-09-15T23:38:17+00:00
VUL,vul.txt,https://iauarchive.eso.org/static/public/constellations/txt/vul.txt,raw/vul.txt,651,0e435b788ee88d54ba67772820a4981c749261f4030ecc3662485a4627509c59,2026-09-15T23:38:17+00:00
