category,object,ra_h,dec_deg,in_milky_way
bayer,α,6.803167,-61.941389,no
bayer,β,5.788083,-51.066722,no
bayer,α,2.034111,2.76375,no
bayer,β,23.064611,3.820056,no
bayer,α,22.960861,-29.62225,no
bayer,β,22.525083,-32.346028,no
bayer,α,8.726528,-33.186389,yes
bayer,β,8.668389,-35.308333,yes
bayer,α,4.240417,-62.473861,no
bayer,β,3.736667,-64.806917,no
bayer,α,19.668278,18.013889,yes
bayer,β,19.684139,17.476028,yes
bayer,α,19.398111,-40.615944,no
bayer,β,19.377306,-44.458972,no
bayer,α,16.490139,-26.432028,yes
bayer,β,16.090611,-19.805444,no
bayer,α,0.976778,-29.357444,no
bayer,β,23.5495,-37.818361,no
bayer,α,18.586778,-8.244056,yes
bayer,β,18.78625,-4.747833,yes
bayer,α,15.737806,6.425639,no
bayer,β,15.769806,15.421833,no
bayer,α,10.132306,-0.371639,no
bayer,β,10.504861,-0.636972,no
bayer,α,4.598667,16.509306,no
bayer,β,5.438194,28.607444,yes
bayer,α,18.449556,-45.968333,no
bayer,β,18.480528,-49.070028,no
bayer,α,1.884694,29.578833,no
bayer,β,2.159056,34.987306,no
bayer,α,16.811083,-69.027722,no
bayer,β,15.919028,-63.430722,no
bayer,α,22.308361,-60.259583,no
bayer,β,0.52575,-62.958222,no
bayer,α,11.062139,61.750833,no
bayer,β,11.030694,56.382444,no
bayer,α,2.530194,89.264111,no
bayer,β,14.845083,74.1555,no
bayer,α,13.419889,-11.161333,no
bayer,β,11.844917,1.764722,no
bayer,α,9.040778,-66.396083,no
bayer,β,8.428944,-66.136889,no
bayer,α,19.478444,24.664917,yes
bayer,β,19.270278,21.390444,yes
special,proxima-centauri,14.495264,-62.679486,no
